ABCA4
ABCA7
ABCB1
ABCD4
ABCG1
ABCG2
ACACB
ACAN
ACCS
ACE
ACE2
ACSL1
ACTN3
ADAM33
ADAMTS12
ADD1
ADH1B
ADH1C
ADIPOQ
ADRA2A
ADRB2
ADRB3
AGT
AGTR1
AGTR2
AHSG
AIRE
AKR1C3
AKT1
ALDH2
ALDH7A1
ALOX12
ALOX5AP
ALPL
ALR2
ANK3
ANKK1
AP4B1-AS1
APOA1
APOA2
APOA4
APOA5
APOB
APOC1
APOC3
APOE
ARC
ARMS2
ARNT2
ARNTL
ASIC1
ATP2B1
AUTS2
BACE1
BACH2
BCKDK
BCL3
BCL9
BCMO1
BDNF
BMP2
BMP2K
BMP4
BST1
BTBD9
BUD13
C1GALT1
C2
C3
C6orf10-BTNL2
C9orf72
CACNA1C
CALCR
CALHM1
CAMK4
CAMKIV
CAMTA1
CAPN10
CAPSL
CAPZB
CARS
CASC16
CASP8
CASR
CAT
CCDC102A
CCL2
CCL20
CCR2
CCR5
CD226
CD244
CD320
CD36
CD40
CD44
CD54
CD58
CD6
CD86
CDH13
CDH2
CDK5RAP1
CDKAL1
CDKN1A
CDKN2A/B
CDKN2B-AS1
CELSR2
CETP
CFB
CFH
CHAT
CHKB-CPT1B
CHL1
CHN2
CHRNA1
CHRNA3
CHRNA4
CHRNA5
CHRNA7
CHRNB3
CHRND
CKM
CLDN14
CLEC16A
CLU
CNDP2
CNNM2
CNR1
CNTF
CNTNAP2
COL11A1
COL12A1
COL1A1
COL2A1
COL3A1
COL5A1
COL6A1
COMT
CPNE5
CPT1B
CREM
CRP
CSF1
CSMD1
CSMD2
CSNK1E
CTLA4
CUBN
CX37
CXCL12
CYBA
CYP19A1
CYP1A2
CYP1B1
CYP24A1
CYP4F2
CYP7A1
DBI
DDR2
DEFB1
DENND1A
DGKD
DICER1
DISC1
DNMT1
DOCK4
DPP6
DRD2
DRD3
DUSP3
ECE1
EGFR
ELMO1
EPAS1
EPO
ERAP1
ERBB3
ERCC6
ESR1
ESR2
EXOC3L2
FAAH
FADS1
FAS
FCGR2B
FCRL3
FCRLB
FDX1
FGF3
FGF7
FGFR1
FLG
FOXO3A
FOXP3
FRMD3
FSHB
FSHR
FTO
FUT2
GABPB1
GABRA6
GABRB3
GABRG2
GABRQ
GABRR1/2
GAK
GAL
GALNT2
GAPDH
GBA
GBA3
GC
GCH1
GCKR
GHR
GHRL
GNB3
GOAT
GPNMB
GPX1
GREB1
GREM1
GRIA1
GRIA3
GRM7
GRM8
GRN
GSTO2
GSTP1
GTF2I
HCG23
HCG27
HCG27-HLA-C
HCRTR1
HCRTR2
HDAC9
HERC2
HFE
HGF
HIF1A
HIST1H1T
HLA-DQ2.2
HLA-DQ7
HLA-DQ8
HLA-DPA1
HLA-DQA1
HLA-DQB1
HLA-DRA
HLA-G
HMCN1
HMGCR
HNF4A
HNMT
HSD17B1
HSD3B1
HTR1A
HTR2A
HTR3B
HTR5A
HTRA1
ICOSLG
IFIH1
IFNG
IGF1
IGF1R
IGF2
IGF2BP2
IGFBP3
IKZF3
IKZF4
IL10
IL13
IL15RA
IL16
IL17F
IL1A
IL1B
IL20
IL22RA1
IL23R
IL2RA
IL6
IL6R
IL7R
IL8
INS
INSIG-2
INSR
IRF4
IRS1
ITGAM
ITGAX
ITIH1
JAK2
JCAD
KCNIP1
KCNJ11
KCNJ5
KCNQ1
KCNQ5
KCTD10
KIAA0513
KIAA1671
KIF3A
KIR3DL2
KL
KLC1
KLRG1
LAIR1
LAIR2
LDLR
LEPR
LHCGR
LINC00340
LINGO1
LINGO2
LIPA
LIPC
LIPG
LMAN2L
LMNA
LNPEP
LOXHD1
LOXL1
LPL
LPP
LRP1
LRP5
LRRK2
LTA
LTBR
MAGI2
MANEA
MAOA
MAP2K5
MAP3K19
MAPT
MC1R
MC4R
MCF2L2
MCM6
MCT1
MDS1
MECR
MEF2D
MEIS1
MGP
MIA3
MIAT
miR137
MIR146A
MIR34B
MIR608
MKLN1
MLCK
MLXIPL
MMAB
MME
MMP12
MMP16
MMP2
MMP3
MMP9
MSTN
MTHFD1L
MTHFR
MTMR3
MTNR1B
MTR
MTRR
MYH9
MYO5B
MYOC
NAA25
NCAN
NDUFA5
NEDD4L
NEDD9
NFE2L2
NINJ2
NKAPL
NLGN4X
NLRP1
NMB
NOS1AP
NOS3
NOTCH4
NPSR1
NPY
NR3C1
NRF2
NRXN1
NRXN2
NRXN3
NTRK2
NTRK3
NUTF2
OPA1
OPCML
OPG
OPRD1
OPRK1
OPRM1
OXTR
P2RY11
P2X7R
PARP1
PCLO
PCSK1
PDCD6
PDE11A
PDE4D
PDE8B
PDGFRA
PDI
PDLIM5
PGBD1
PIK3CA
PITX2-ENPEP
PKNOX2
PLA2G7
PLA2R1
PLCL1
PM20D1
POLN
POMC
PON1
PPARA
PPARD
PPARG
PPARGC1A
PPARGC1B
PPP3CC
PROP1
PSMB8
PSMB9
PSRC1
PTH
PTHB1
PTPN22
PVR
PVRL2
QPCT
RAB29
RAB5B
RAGE
RALY
RANK
RBFOX1
REL
RELN
RGS6
RIT2
RNF6
RNLS
RORA
RPS6KA2
RPS6KB1
RSBN1
RXRA
RXRG
SCN1A
SCN2A
SDF1
SEPS1
SERINC2
SHANK3
SHBG
SHROOM3
SKIV2L
SLC12A3
SLC17A7
SLC1A1
SLC22A12
SLC23A1
SLC23A2
SLC25A12
SLC2A1/GLUT1
SLC2A4
SLC2A9
SLC30A8
SLC34A1
SLC35G1
SLC41A1
SLC44A4
SLC45A2
SLC45A3
SLC5A11
SLC6A3
SMARCA4
SNAP25
SNCA
SOD1
SOD2
SOD3
SORL1
SPATA5L1
SPINK5
SPP1
SRBD1
SREBF2
SREBP1C
SRR
ST6GAL1
STAT4
STAT6
STK36
STON2
STX1A
STX1B
SUOX
SUSD2
TAC1
TAGAP
TAP1
TAS1R2
TAS1R3
TAS2R38
TBCD
TCF4
TCF7L2
TCN1
TCN2
TENM4
TERT
TF
TFAM
TFAP2B
TGFB1
TGFB2
TGFBR2
THADA
THBS1
THRA
TIAM1
TIMELESS
TIMP4
TLR3
TLR4
TLR5
TLR9
TMCO1
TMEM106B
TMEM132D
TMEM175
TMPRSS6
TNC
TNF
TNFAIP3
TNFRSF11A
TNFRSF11B
TNFSF11
TNFSF13
TNIP1
TNXB
TOMM40
TP53
TPH2
TPO
TRAF3IP2
TREM2
TREML2
TRHR
TRIM63
TRIML2
TRPM2
TRPM6
TRPS1
TSHR
TSNARE1
TSPAN18
TTC32-WDR35
UBASH3A
UCP2
UCP3
UMOD
UNC13A
UNC5C
VAV3
VAX2
VDR
VEGFA
VKORC1
WFS1
WNT4
WRN
XRCC1
XRCC3
YAP1
ZCWPW1
ZMIZ1
ZNF259
ZNF699
ZNF804A
